restaurant_external_id,summary,representative_menu,mood_summary,parking_summary,waiting_summary,average_trust_score,has_analysis
kakao_168487509,"성균관대 바로 앞에 있어 위치가 좋고, 안주와 맥주가 맛있으며 가격도 저렴하다는 평가가 많습니다. 직원과 사장님의 친절함, 혼술이나 친구와 가볍게 술 마시기 좋은 점, 재방문 의사도 언급됩니다.",오뎅탕 | 마라바지락볶음면 | 감바스 | 먹태 | 살얼음생맥주,"성균관대 앞 풍경을 보며 먹기 좋고, 혼술이나 친구와 대화하며 술 마시기 좋은 분위기입니다. 인테리어와 테이블 조명이 예쁘고 깔끔하다는 언급이 있습니다.",NAN,NAN,32.03,True
kakao_11634881,"저렴한 가격과 가성비 좋은 요일·행사 메뉴, 맛있는 도시락으로 점심이나 간단한 식사에 자주 이용하기 좋은 곳입니다. 사장님이 친절하고 포장 이용이 편리하다는 평이 많으며, 일부 메뉴 품질 편차나 음식이 나오는 데 시간이 걸린다는 의견도 있습니다.",불닭치킨마요 | 치즈닭갈비덮밥 | 스팸마요 | 치킨마요 | 순살 후라이드,혼밥하기 좋고 편하게 간단한 식사를 하기 좋은 매장입니다.,NAN,"도시락이나 포장이 빨리 나온다는 리뷰가 있지만, 주문 후 음식이 나오기까지 조금 시간이 걸려 빨리 먹고 가기 어려울 수 있다는 의견도 있습니다.",44.68,True
kakao_22016023,"성균관대 앞에서 피자와 맥주 조합을 즐기기 좋은 피맥집으로, 피자 도우와 다양한 수제맥주, 맥앤치즈·스파게티 등 사이드 메뉴에 대한 만족도가 높습니다. 가격과 세트 구성의 가성비, 친절한 응대, 재방문 의사를 언급한 리뷰가 많고 데이트나 단체 모임, 가벼운 술자리에 자주 추천됩니다.",페퍼로니 피자 | 비비큐 포크 피자 | 더블 치즈 피자 | 맥앤치즈 | 치즈 오븐 스파게티 | 버섯 크림 스파게티 | 수제 맥주 샘플러,"돌담길 옆 야외 테라스와 야장 감성이 좋고, 아늑하고 조용한 분위기라 데이트나 피맥, 낮술, 친구와 대화하기 좋다는 평가가 많습니다. 2층과 대관·파티룸 이용이 가능해 단체 모임에도 적합하다는 언급이 있습니다.",NAN,NAN,30.48,True
kakao_338935651,"고기 질과 양념갈비 맛, 다양한 사이드 메뉴와 가성비에 대한 만족도가 높고 직원·사장님의 친절함을 언급한 리뷰가 많습니다. 매장이 넓어 가족모임, 회식, 단체 방문에 좋다는 평가가 있으며, 일부 리뷰에서는 단체 관광객으로 시끄럽고 복잡하거나 일부 사이드 메뉴·서비스·청결에 아쉬움이 있었다고 언급했습니다.",돼지갈비 | 양념갈비 | 돼지껍데기 | 계란찜 | 된장찌개 | 햄버거 | 감자튀김 | 고구마 맛탕 | 군만두 | 떡볶이 | 냉면 | 김치전 | 스파게티 | 슬러시,"매장이 넓고 깔끔하며 단체석이 많아 가족모임, 회식, 친구 모임, 데이트에 이용하기 좋다는 리뷰가 있습니다. 다만 중국 단체관광객이 많아 시끄럽고 복잡하다는 언급도 있습니다.",주차가 편하고 주차 공간이 넓거나 넉넉하다는 리뷰가 여러 번 언급되었습니다.,"예약 손님이 많아 자리를 못 잡을 뻔했다는 언급과, 주말에는 인원이 있으면 예약이 필요하겠다는 리뷰가 있습니다.",32.76,True
kakao_122821905,"물결식당은 고등어덮밥, 카레, 닭고기 덮밥 등 덮밥류와 파스타 메뉴가 맛있다는 평가가 많고, 사장님이 친절하다는 언급도 있습니다. 아담하고 따뜻한 분위기와 귀여운 강아지 ‘말랑이’가 인상적이라 힐링하거나 조용히 식사하러 재방문하고 싶다는 리뷰가 있습니다.",고등어덮밥 | 카레 | 쟌슨빌 크림 라이스 | 닭고기 덮밥 | 잔슨빌들깨파스타 | 단짠단짠닭고기덮밥 | 네가지색덮밥,"아담하고 아기자기한 인테리어에 조용하고 따뜻한 분위기이며, 일본 감성이나 연남동 골목 같은 느낌이 난다는 리뷰가 있습니다. 강아지가 있어 강아지를 좋아하는 사람에게 특히 좋고, 혼자 조용히 힐링하거나 이야기하며 식사하기 좋다는 언급이 있습니다.",NAN,NAN,21.17,True
kakao_25770908,"피자가 맛있고 양이 많다는 평가가 많으며, 가성비가 좋고 자주 배달시켜 먹는다는 리뷰가 여러 번 언급됩니다. 배달이 빠르고 따뜻하게 온다는 장점이 있지만, 일부 리뷰에서는 도우가 두껍거나 토핑이 부족하다는 아쉬움도 있습니다.",해븐피자 | 사대천왕 피자 | 고구마스위트 | 눈꽃치즈스테이크 | 더블치즈베이컨 | 페퍼로니,생일 파티에 주문하기 좋았다는 언급이 있습니다.,NAN,NAN,44.31,True
kakao_1869234515,"피자와 치킨, 떡강정 등을 맛있게 먹었다는 리뷰가 많고 도우가 얇고 쫄깃하다는 언급과 갓 튀긴 치킨의 바삭함, 가성비가 좋다는 평가가 있습니다. 사장님과 직원이 친절하다는 후기가 반복되며, 일부는 치킨 튀김 상태나 피자 구성·가격에 아쉬움을 표현했습니다.",케이준 떡강정 | 케이준 양념감자 | 핫치즈빅싸이순살 | 빅싸이순살 치킨 | 싸이피자 | 고구마 피자 | 후라이드치킨,"아이들과 간단히 먹기 좋고, 혼술하기 좋을 것 같다는 언급이 있습니다.",NAN,NAN,49.57,True
kakao_483030266,"성균관대 근처의 빵집으로 소금빵이 특히 많이 언급되며, 버터향과 짭짤함이 좋고 가격도 비교적 착하다는 평가가 많습니다. 브라우니, 휘낭시에, 치아바타 등 다른 빵도 호평이 있으며 친절한 응대와 재방문 의사가 자주 보이지만, 일부 리뷰에서는 빵 식감이나 직원 응대에 대한 아쉬움도 있습니다.",소금빵 | 브라우니 | 휘낭시에 | 치아바타 앙버터 | 에그타르트 | 밀크프레즐 | 카야프레즐 | 소세지빵 | 브리오슈식빵 | 올리브 치아바타 | 팥빵,매장이 작고 협소하며 테이크아웃 위주로 이용하기 좋아 보인다는 언급이 있습니다. 빵이 개별 포장되어 있어 위생적이고 깔끔하다는 평가도 있습니다.,NAN,NAN,32.27,True
kakao_633176459,"안주와 음식이 전반적으로 맛있고 종류가 다양하다는 평가가 많으며, 사장님과 직원들이 친절하다는 리뷰도 자주 보입니다. 가격이 합리적이고 양이 많다는 의견이 있으며, 회식·단체모임·친구 모임·데이트나 가벼운 술자리로 재방문 의사가 높은 술집입니다.",짬뽕탕 | 먹태 | 치킨 | 곱창전골 | 명란 크림 우동 | 술찜 | 돈가쓰 | 크림우동 | 치즈 불닭 | 간장 파닭 | 미숫가루 화채 | 두부김치 | 수육 | 명란 마요 파스타 | 김치찌개 | 시샤모 | 목살 김치찌개 | 크림커리치킨 | 버터갈릭 | 불짬뽕 | 육개장 칼국수,"대화하기 좋고 분위기가 좋다는 평가가 있으며, 인테리어가 예쁘고 좌석이 편하다는 언급이 있습니다. 대학 동기 회식, 단체모임, 친구 모임, 데이트, 간술 등으로 이용하기 좋다는 리뷰가 있습니다.",NAN,NAN,37.32,True
kakao_11520636,"성균관대 앞에서 오래 사랑받는 이란·인도식 커리 맛집으로, 통닭카레와 케밥, 난, 라이스케이크 조합이 특히 많이 언급되며 양이 푸짐하고 맵기 조절이 가능하다는 평가가 많습니다. 직원 친절, 재방문 의사, 데이트나 가족·친구 식사에 좋다는 후기가 많지만 인기 있는 시간대에는 대기가 잦고 음식 조리에 시간이 걸린다는 리뷰도 있습니다.",통닭정식 | 통닭카레 | 치킨커리 | 양고기케밥 | 양고기카레 | 버터난 | 치즈난 | 라이스케이크 | 사랑세트 | 시금치카레 | 라씨 | 자프란 아이스크림,"중동·이란·인도 현지 느낌의 이국적인 인테리어와 독특한 분위기가 강하게 언급되며, 아늑해서 데이트, 가족 식사, 친구와의 식사에 좋다는 평가가 있습니다. 대학가 근처라 젊은 손님이 많고 인테리어를 구경하는 재미가 있다는 후기도 있습니다.",NAN,"대기가 있는 편이라는 리뷰가 많으며, 브레이크타임 직후나 오픈런에는 바로 앉거나 비교적 여유로웠다는 후기도 있습니다. 토요일·공휴일에는 10분, 30분 이상, 1시간 정도 기다렸다는 언급이 있고, 음식은 조리 특성상 주문 후 20~30분가량 기다린다는 리뷰가 있습니다.",31.8,True
