restaurant_external_id,summary,representative_menu,mood_summary,parking_summary,waiting_summary,average_trust_score,has_analysis
kakao_824736542,낭만가득한20세기포장마차 수원성대본점은 리뷰 요약 API 호출 실패로 인해 자동 요약을 완료하지 못했습니다.,NAN,NAN,NAN,NAN,NAN,True
kakao_306868449,소리산전집은 리뷰 요약 API 호출 실패로 인해 자동 요약을 완료하지 못했습니다.,NAN,NAN,NAN,NAN,NAN,True
kakao_1279255339,두루정 수원성대점은 리뷰 요약 API 호출 실패로 인해 자동 요약을 완료하지 못했습니다.,NAN,NAN,NAN,NAN,NAN,True
kakao_762026624,코아김밥은 리뷰 요약 API 호출 실패로 인해 자동 요약을 완료하지 못했습니다.,NAN,NAN,NAN,NAN,NAN,True
kakao_1138868621,김치로우주정복 수원율천점은 수집된 리뷰가 없어 리뷰 기반 상세 요약을 생성할 수 없습니다.,NAN,NAN,NAN,NAN,NAN,False
kakao_1676208114,최고집 원조 수구레은 리뷰 요약 API 호출 실패로 인해 자동 요약을 완료하지 못했습니다.,NAN,NAN,NAN,NAN,NAN,True
kakao_1687006483,돼지게티 율천점은 리뷰 요약 API 호출 실패로 인해 자동 요약을 완료하지 못했습니다.,NAN,NAN,NAN,NAN,NAN,True
kakao_382531552,미은 수집된 리뷰가 없어 리뷰 기반 상세 요약을 생성할 수 없습니다.,NAN,NAN,NAN,NAN,NAN,False
kakao_24583309,"신전떡볶이 특유의 매콤한 떡볶이와 튀김, 컵밥을 맛있게 먹었다는 후기가 많고 포장 이용이 자주 언급됩니다. 양이 많다는 의견과 친절하다는 후기가 있는 반면, 가격이 비싸졌다는 반응과 일부 포장 지연·품질 아쉬움도 있습니다.",치즈떡볶이 | 신전떡볶이 | 로제떡볶이 | 참치김치 컵밥 | 참치마요컵밥 | 오뎅튀김 | 오징어튀김 | 튀김 | 김밥,"매장은 4테이블 정도로 굉장히 좁고 자리가 협소하며, 문이 열릴 때마다 바람이 들어 춥다는 후기가 있습니다.",NAN,"주문 후 많이 기다리지 않고 바로 가져왔다는 후기와, 포장에 30분 기다렸거나 떡볶이 하나 나오는데 오래 걸렸다는 후기가 함께 있습니다.",NAN,true
kakao_2064565238,"마라탕을 최애로 꼽거나 자주 재방문한다는 리뷰가 많으며, 향신료가 과하지 않고 땅콩소스의 고소함과 진한 사골국물, 선택 가능한 맵기와 신선한 재료가 장점으로 언급됩니다. 마라샹궈, 꿔바로우, 마파두부도 함께 언급되며 대체로 맛있고 친절하다는 평가가 많지만 일부 재료 신선도나 응대, 간이 아쉽다는 의견도 있습니다.",마라탕 | 백탕 | 마라샹궈 | 마파두부 | 꿔바로우,"매장이 나름 넓고 청결하며 큰 자리도 있다는 언급이 있고, 점심시간대에는 학교 근처라 학생들이 많고 항상 사람 많고 복작복작하다는 리뷰가 있습니다.",근처에 공용 주차장이 있어 편하게 이용할 수 있다는 리뷰가 있습니다.,NAN,NAN,true
kakao_1665003130,"족발과 보쌈이 잡내 없이 부드럽고 쫄깃하다는 평가가 많으며, 한상 구성과 다양한 반찬·소스, 푸짐한 양이 강점으로 언급됩니다. 직원 친절, 합리적인 가격과 주류 할인, 가족·친구와 재방문하고 싶다는 후기가 많습니다.",족발한상 | 한상족발 | 완미보쌈 한상 | 한상보쌈 | 반반족발 | 반반메뉴 | 막국수 | 계란찜 | 날치알왕주먹밥 | 매운족발 | 남도식 한상 족발,"매장이 크진 않지만 깨끗하고 깔끔하다는 후기가 있으며, 가족이나 아이와 함께 식사하기 좋고 친구들과 방문하기 좋다는 언급이 있습니다.",NAN,NAN,NAN,true
