restaurant_external_id,summary,representative_menu,mood_summary,parking_summary,waiting_summary,average_trust_score,has_analysis
kakao_824736542,"안주와 술이 다양하고 맛있다는 평가가 많으며, 신선한 재료와 깔끔한 오픈주방, 넉넉한 양과 합리적인 가격에 대한 만족도가 높습니다. 사장님이 친절하고 음식·술에 신경을 많이 쓴다는 리뷰가 많아 혼술이나 가볍게 술 한두 잔하며 대화하기 좋은 단골 술집으로 언급됩니다.",꽁치김치찌개 | 생맥주 | 하이볼 | 골뱅이무침 | 명란계란말이 | 김치볶음밥 | 두루치기 | 나쵸리브레 | 나폴리탄 | 떡볶이 | 솔티드 아이스크림 | 롱티,"포장마차처럼 가볍지만 운치 있는 분위기이며, 인테리어와 음악 선곡·음량이 좋아 적당히 술 한두 잔 하며 대화하기 좋은 공간으로 언급됩니다. 오픈키친이라 주방이 보이고, 날씨가 좋으면 야외자리도 이용할 수 있다는 리뷰가 있습니다.",NAN,NAN,42.61,True
kakao_306868449,"전과 식사 메뉴 전반이 맛있고 정갈하다는 평이 많으며, 기본 반찬과 계란후라이가 나오는 점심 메뉴가 집밥처럼 가성비 좋다는 리뷰가 있습니다. 사장님이 친절하다는 언급과 재방문 의사가 여러 번 보입니다.",모듬전 | 육전 | 김치찌개 | 제육덮밥 | 한우스지 | 스지곰탕 | 감자전 | 김치전,"가게는 작지만 아늑하고 깨끗하다는 언급이 있으며, 막걸리와 전을 함께 먹기 좋고 학생들 점심 한 끼나 백반 식사로 이용하기 좋다는 리뷰가 있습니다.",NAN,NAN,37.72,True
kakao_1279255339,"짜글이와 두루치기를 중심으로 맛있고 양이 푸짐하다는 평가가 많으며, 공기밥 제공·무한리필, 합리적인 가격대, 친절한 응대에 대한 만족이 자주 언급됩니다. 혼밥, 점심·저녁 식사, 친구와의 방문, 소주 안주로도 찾는 재방문 의사가 높은 성대역 근처 맛집입니다.",짜글이 | 두루치기 | 제육 파김치 짜글이 | 김치부대찌개 짜글이 | 계란찜 | 쭈꾸미 | 돼지김치 짜글이 | 파제육 | 깻잎돼지두루치기 | 볶음밥 | 화산계란찜,"가게가 조용하고 아늑하며 분위기가 좋아 데이트나 혼밥하기 좋다는 언급이 있고, 내부가 깔끔하다는 평가가 있습니다. 친구와 식사하거나 소주 안주로 즐기기에도 좋다는 리뷰가 있습니다.",버스정류소가 가깝고 공영주차장이 도보 2분 거리에 있으며 1시간 무료라는 언급이 있습니다. 고가 아래 공영주차장도 도보 2분 거리로 언급됩니다.,NAN,34.57,True
kakao_762026624,"김밥 속재료가 푸짐하고 한 줄로도 든든하다는 평이 많으며, 묵은지참치김밥과 치즈김밥, 멸치·멸추김밥 등이 맛있다는 리뷰가 반복됩니다. 사장님이 친절하다는 언급도 많고, 가격은 약간 올랐다는 의견이 있습니다.",매운어묵김밥 | 묵은지참치김밥 | 치즈김밥 | 멸추김밥 | 멸치김밥,NAN,NAN,NAN,22.72,True
kakao_1138868621,김치로우주정복 수원율천점은 수집된 리뷰가 없어 리뷰 기반 상세 요약을 생성할 수 없습니다.,NAN,NAN,NAN,NAN,0.0,False
kakao_1676208114,"수구레 전골, 볶음, 모듬구이 등 수구레 메뉴가 부드럽고 쫄깃하며 냄새 없이 맛있다는 평가가 많고, 볶음밥을 마무리로 추천하는 리뷰가 많습니다. 직원과 사장님이 친절하다는 언급이 반복되며, 술안주나 반주, 재방문·포장 목적으로 찾는 손님도 많습니다.",수구레 전골 | 수구레 볶음 | 수구레모듬구이 | 볶음밥 | 곱창구이 | 수육 | 볶음국수,"술 한잔이나 반주하기 좋고, 여자친구·가족·지인과 방문했다는 리뷰가 있으며 좌석이 많지 않고 테이블이 좁다는 언급이 있습니다.",공영주차장이 가까워 편리하다는 리뷰가 있습니다.,"웨이팅이 있지만 회전이 빠른 편이라는 언급이 있고, 초저녁부터 웨이팅이 있으며 늘 줄 서거나 만석인 것 같다는 리뷰가 있습니다.",29.45,True
kakao_1687006483,"대체로 맛있고 양이 푸짐하다는 평가가 많으며, 사장님이 친절하다는 언급도 있습니다. 다만 배달 시간 요청이 잘 반영되지 않아 음식이 식거나 불었다는 아쉬운 리뷰가 있습니다.",돼지게티 | 막창 | 막창돼지게티 | 스파게티,NAN,NAN,NAN,38.47,True
kakao_382531552,미은 수집된 리뷰가 없어 리뷰 기반 상세 요약을 생성할 수 없습니다.,NAN,NAN,NAN,NAN,0.0,False
kakao_24583309,"신전떡볶이 특유의 매콤한 맛과 치즈떡볶이, 튀김, 컵밥을 맛있게 먹었다는 리뷰가 많고 포장 이용도 자주 언급됩니다. 다만 가격이 비싸졌다는 의견과 매장이 좁고 일부 포장 대기나 음식 상태에 대한 아쉬움도 있습니다.",치즈떡볶이 | 신전떡볶이 | 로제떡볶이 | 참치김치 컵밥 | 참치마요컵밥 | 오뎅튀김 | 오징어튀김 | 튀김 | 김밥 | 쿨피스,"매장은 4테이블 정도로 굉장히 좁고 자리가 협소하며, 문이 열릴 때마다 바람이 들어와 춥다는 리뷰가 있습니다.",NAN,"주문 후 많이 기다리지 않고 바로 가져왔다는 리뷰가 있는 반면, 포장에 30분 기다렸거나 떡볶이 하나 나오는 데 오래 걸렸다는 리뷰도 있습니다.",33.22,True
kakao_2064565238,"마라탕을 최애로 꼽는 재방문 리뷰가 많고, 향신료가 과하지 않으면서 땅콩소스의 고소함과 진한 사골육수가 좋다는 평가가 많습니다. 재료 신선도와 푸짐한 양, 친절한 서비스, 무료 밥 제공이 장점으로 언급되며 꿔바로우와 마라샹궈도 함께 호평이 있습니다.",마라탕 | 백탕 | 마파두부 | 마라샹궈 | 꿔바로우,"매장이 나름 넓고 청결하며 큰자리도 있고, 점심시간대에는 학생들이 많고 항상 사람 많고 복작복작하다는 언급이 있습니다.",근처에 공용 주차장이 있어 편하게 이용할 수 있다는 언급이 있습니다.,NAN,31.26,True
